sample_index,time_from_start_s,Right_Shoulder_Pitch_Joint,Right_Shoulder_Roll_Joint,Right_Shoulder_Yaw_Joint,Right_Elbow_Pitch_Joint,Right_Wrist_Yaw_Joint,Right_Wrist_Roll_Joint,Right_Wrist_Pitch_Joint
179,17.900,0.706858337,0.130867422,-0.017453292,0.374096930,0.846535027,0.324611962,0.485620677
180,18.000,0.706858337,0.132949919,-0.017453292,0.369503558,0.845071614,0.323416859,0.484809369
181,18.100,0.707021773,0.133799449,-0.017453292,0.367100328,0.843850732,0.318568468,0.484505594
182,18.200,0.707364559,0.134146154,-0.017453292,0.365861654,0.843348920,0.310427964,0.484749734
183,18.300,0.707631409,0.134106994,-0.017453292,0.366164148,0.843140721,0.305789024,0.485014349
184,18.400,0.708083570,0.133251414,-0.016876908,0.366372257,0.843054831,0.302974164,0.485123843
185,18.500,0.708410740,0.132248327,-0.016439071,0.366464674,0.843016565,0.300102830,0.485172659
186,18.600,0.708523691,0.130717129,-0.016010942,0.366496533,0.843108356,0.299129248,0.485189557
187,18.700,0.710623920,0.129799083,-0.015833318,0.366509795,0.843172312,0.298730165,0.485196561
188,18.800,0.712335050,0.128930062,-0.015759889,0.366515249,0.843067944,0.298566401,0.485199451
189,18.900,0.713219047,0.128037274,-0.015729485,0.366517544,0.843527019,0.298498929,0.485200673
190,19.000,0.713583946,0.127322793,-0.015716864,0.367458135,0.843404055,0.297445655,0.485201180
191,19.100,0.713733554,0.126351342,-0.015711665,0.367929608,0.843258142,0.297012895,0.485938907
192,19.200,0.713795781,0.125947639,-0.015709497,0.367103159,0.843103409,0.296207011,0.486530095
193,19.300,0.713821530,0.125780836,-0.015708597,0.366760403,0.843039215,0.296322078,0.486610383
194,19.400,0.713832200,0.125711873,-0.015708225,0.365874439,0.843012631,0.295710206,0.486808419
195,19.500,0.713836610,0.125683501,-0.015957901,0.362614959,0.843001664,0.294404566,0.486889958
196,19.600,0.713838398,0.125671878,-0.016568556,0.357694209,0.842997193,0.289189368,0.486923367
197,19.700,0.713839233,0.125666738,-0.016933454,0.354095370,0.842995167,0.285742283,0.486938149
198,19.800,0.713839471,0.125664964,-0.016394267,0.351123810,0.842994511,0.284120858,0.486779839
199,19.900,0.713839591,0.125664219,-0.016600033,0.347082943,0.842994213,0.283309788,0.486675799
200,20.000,0.713839650,0.125663921,-0.016756069,0.341358036,0.842994094,0.283140838,0.486009628
201,20.100,0.713839650,0.126603693,-0.017165316,0.338680863,0.842994034,0.282907158,0.485535055
202,20.200,0.713839710,0.127075657,-0.017333971,0.337599039,0.842994034,0.282320172,0.485339642
203,20.300,0.713839710,0.127271235,-0.017403930,0.337156713,0.842994034,0.281361014,0.485258639
204,20.400,0.713494718,0.127843514,-0.017432833,0.336975694,0.842994034,0.273276657,0.485225201
205,20.500,0.712672651,0.128613442,-0.017444832,0.336275607,0.842994034,0.263564497,0.485294819
206,20.600,0.712331951,0.128932193,-0.018477740,0.330536306,0.842994034,0.256132871,0.485613883
