sample_index,time_from_start_s,Right_Shoulder_Pitch_Joint,Right_Shoulder_Roll_Joint,Right_Shoulder_Yaw_Joint,Right_Elbow_Pitch_Joint,Right_Wrist_Yaw_Joint,Right_Wrist_Roll_Joint,Right_Wrist_Pitch_Joint
149,14.900000,0.696386397,-0.052533534,0.036355503,0.512901311,0.937235354,0.070788316,0.422365651
150,15.000000,0.696386397,-0.052528866,0.036237965,0.512907386,0.937235530,0.070761981,0.422365760
151,15.100000,0.696386397,-0.052524198,0.036120427,0.512913461,0.937235705,0.070735645,0.422365869
152,15.200000,0.696386397,-0.052519530,0.036002888,0.512919537,0.937235880,0.070709309,0.422365977
153,15.300000,0.696386397,-0.052514862,0.035885350,0.512925612,0.937236055,0.070682974,0.422366086
154,15.400000,0.696386397,-0.052510194,0.035767812,0.512931687,0.937236231,0.070656638,0.422366195
155,15.500000,0.696386397,-0.052505526,0.035650274,0.512937763,0.937236406,0.070630303,0.422366304
156,15.600000,0.696386397,-0.052500858,0.035532736,0.512943838,0.937236581,0.070603967,0.422366412
157,15.700000,0.696386397,-0.052496190,0.035415197,0.512949913,0.937236756,0.070577631,0.422366521
158,15.800000,0.696386397,-0.052491522,0.035297659,0.512955988,0.937236932,0.070551296,0.422366630
159,15.900000,0.696386397,-0.052486854,0.035180121,0.512962064,0.937237107,0.070524960,0.422366739
160,16.000000,0.696386397,-0.052482186,0.035062583,0.512968139,0.937237282,0.070498624,0.422366847
161,16.100000,0.696386397,-0.052477518,0.034945045,0.512974214,0.937237457,0.070472289,0.422366956
162,16.200000,0.696386397,-0.052472850,0.034827506,0.512980290,0.937237632,0.070445953,0.422367065
163,16.300000,0.696386397,-0.052468182,0.034709968,0.512986365,0.937237808,0.070419617,0.422367173
164,16.400000,0.696386397,-0.052463514,0.034592430,0.512992440,0.937237983,0.070393282,0.422367282
165,16.500000,0.696386397,-0.052458846,0.034474892,0.512998516,0.937238158,0.070366946,0.422367391
166,16.600000,0.696386397,-0.052454178,0.034357354,0.513004591,0.937238333,0.070340611,0.422367500
167,16.700000,0.696386397,-0.052449510,0.034239815,0.513010666,0.937238509,0.070314275,0.422367608
168,16.800000,0.696386397,-0.052444842,0.034122277,0.513016742,0.937238684,0.070287939,0.422367717
169,16.900000,0.696386397,-0.052440174,0.034004739,0.513022817,0.937238859,0.070261604,0.422367826
170,17.000000,0.696386397,-0.052427075,0.033893369,0.513045736,0.937238967,0.070245341,0.422367893
171,17.100000,0.696386397,-0.052407974,0.033786390,0.513080645,0.937239026,0.070236248,0.422367931
172,17.200000,0.696386397,-0.052388873,0.033679410,0.513115554,0.937239085,0.070227155,0.422367969
173,17.300000,0.696386397,-0.052369773,0.033572430,0.513150462,0.937239144,0.070218061,0.422368007
174,17.400000,0.696386397,-0.052350672,0.033465451,0.513185371,0.937239203,0.070208968,0.422368045
175,17.500000,0.696386397,-0.052331571,0.033358471,0.513220280,0.937239262,0.070199875,0.422368083
176,17.600000,0.696386397,-0.052312471,0.033251492,0.513255189,0.937239321,0.070190782,0.422368121
177,17.700000,0.696386397,-0.052293370,0.033144512,0.513290097,0.937239380,0.070181689,0.422368159
178,17.800000,0.696386397,-0.052274270,0.033037533,0.513325006,0.937239439,0.070172595,0.422368197
179,17.900000,0.696386397,-0.052255169,0.032930553,0.513359915,0.937239499,0.070163502,0.422368235
180,18.000000,0.696386397,-0.052236068,0.032823574,0.513394824,0.937239558,0.070154409,0.422368273
